-|-
-fold|lipat
-ization|-isasi
-ous|bersifat
-proof|anti-
-ship|-an
-times|kali
.01 yen|0,01 yen
(kokuji)|(kanji buatan Jepang)
(North) Korea|Korea (Utara)
(parallels of) latitude|garis lintang
%|persen
0.1|0,1
1-3AM|pukul 01-03
1-3PM|pukul 13-15
1.32 lb|1,32 pon
1.8 liter|1,8 liter
1/10 bu|1/10 bu
1/10 sen|1/10 sen
10,000|sepuluh ribu
10**12|10 pangkat 12
10**16|10 pangkat 16
10**28|10 pangkat 28
10**32|10 pangkat 32
10**40|10 pangkat 40
10**44|10 pangkat 44
10**48|10 pangkat 48
10**8|10 pangkat 8
11AM-1PM|pukul 11-13
11PM-1AM|pukul 23-01
3-5AM|pukul 03-05
3-5PM|pukul 15-17
3.75 grams|3,75 gram
3rd|ketiga
3rd calendar sign|tanda kalender ke-3
4th calendar sign|tanda kalender ke-4
5-7AM|pukul 05-07
5-7PM|pukul 17-19
7-9AM|pukul 07-09
8 1/3lbs|8 1/3 pon
9-11AM|pukul 09-11
9-11PM|pukul 21-23
a certain|suatu
a coarse camlet|kain kasar
a fast person|orang yang cepat
a good horse|kuda bagus
A grade|nilai A
a helping|satu porsi
a light|cahaya
a little|sedikit
a matter|perkara
a reason|alasan
a reed instrument|alat musik tiup buluh
a sink|bak cuci
a stand|dudukan
a while|sebentar
abacus|sempoa
abandon|menelantarkan
abbreviation|singkatan
abdomen|perut
abet|menghasut
abhor|membenci
abide by|menaati
ability|kemampuan
able to|mampu
abolish|menghapuskan
about|tentang
above|di atas
above-stated|tersebut di atas
absolve|membebaskan
absorb|menyerap
abstain|menahan diri
absurdity|kemustahilan
abundance|kelimpahan
abundant|berlimpah
abuse|penyalahgunaan
accept|menerima
accident|kecelakaan
accidentally|secara tidak sengaja
accompany|menemani
accomplish|menyelesaikan
accomplished|terlaksana
accordingly|karena itu
account|rekening
account book|buku kas
accumulate|menumpuk
accurate|akurat
accusation|tuduhan
accuse|menuduh
accustomed|terbiasa
achieve|mencapai
achievement|pencapaian
achievements|pencapaian
acid|asam
acknowledge|mengakui
